Dissolved_Oxygen,Temperature,pH,Plant_Type
10,10,7.5,"Cool, Neutral Stream with High Oxygen"
4,12,7.7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
4,10,7.2,"Temperate, Slightly Alkaline Lake with Low Oxygen"
2.4,16,7.2,"Temperate, Slightly Alkaline Lake with Low Oxygen"
4.1,16,7.5,"Temperate, Slightly Alkaline Lake with Low Oxygen"
11.5,15,7,"Cool, Neutral Stream with High Oxygen"
10.5,10,7,"Cool, Neutral Stream with High Oxygen"
10.5,10,7,"Cool, Neutral Stream with High Oxygen"
10,21.5,7,"Hot, Neutral Pond with High Oxygen"
10.5,10,7,"Cool, Neutral Stream with High Oxygen"
10,20.5,7,"Hot, Neutral Pond with High Oxygen"
10.5,10,7,"Cool, Neutral Stream with High Oxygen"
9,14.5,7,"Cool, Neutral Stream with High Oxygen"
10.5,10,7,"Cool, Neutral Stream with High Oxygen"
10.5,12,7,"Cool, Neutral Stream with High Oxygen"
10,10,7,"Cool, Neutral Stream with High Oxygen"
8,11,7,"Cool, Neutral Stream with High Oxygen"
10,10,7,"Cool, Neutral Stream with High Oxygen"
10.5,10,7,"Cool, Neutral Stream with High Oxygen"
12,11,7.5,"Cool, Neutral Stream with High Oxygen"
9.5,13.5,7.3,"Cool, Neutral Stream with High Oxygen"
9,12,7,"Cool, Neutral Stream with High Oxygen"
8.2,28.5,7.1,"Hot, Neutral Pond with High Oxygen"
10.4,13,6.1,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
8.5,12,6.9,"Cool, Neutral Stream with High Oxygen"
10,23,6.9,"Hot, Neutral Pond with High Oxygen"
8.9,11,7.1,"Cool, Neutral Stream with High Oxygen"
10.2,20,6.4,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
8,12,7.3,"Cool, Neutral Stream with High Oxygen"
10.2,15,6.4,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
2.6,10,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
5.1,23,6.2,"Warm, Slightly Acidic Pond with Low to Moderate Oxygen"
5.1,23,6.2,"Warm, Slightly Acidic Pond with Low to Moderate Oxygen"
5.1,23,6.2,"Warm, Slightly Acidic Pond with Low to Moderate Oxygen"
8.4,10,7.5,"Cool, Neutral Stream with High Oxygen"
3.5,14,7.1,"Temperate, Slightly Alkaline Lake with Low Oxygen"
6,12,5.9,"Cool, Acidic River with Moderate Oxygen"
7,10,7,"Cold, Neutral River with Moderate Oxygen"
4.5,18,7.8,"Temperate, Slightly Alkaline Lake with Low Oxygen"
4.7,17,7.2,"Temperate, Slightly Alkaline Lake with Low Oxygen"
6.3,10,7,"Cold, Neutral River with Moderate Oxygen"
5,15,7.2,"Temperate, Slightly Alkaline Lake with Low Oxygen"
8,11,7.2,"Cool, Neutral Stream with High Oxygen"
5,17,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
5,11,7.1,"Temperate, Slightly Alkaline Lake with Low Oxygen"
3.7,17,7.4,"Temperate, Slightly Alkaline Lake with Low Oxygen"
10.3,11.3,7.3,"Cool, Neutral Stream with High Oxygen"
8.6,10,7.2,"Cool, Neutral Stream with High Oxygen"
6.4,27,7.5,"Tropical, Neutral Lake with Moderate Oxygen"
5.4,29,7.1,"Tropical, Neutral Lake with Moderate Oxygen"
11,12.5,7.4,"Cool, Neutral Stream with High Oxygen"
6.2,26,7.1,"Tropical, Neutral Lake with Moderate Oxygen"
9.4,15,7.3,"Cool, Neutral Stream with High Oxygen"
9.4,11,7.2,"Cool, Neutral Stream with High Oxygen"
6,27,7.4,"Tropical, Neutral Lake with Moderate Oxygen"
7.8,22,7.1,"Hot, Neutral Pond with High Oxygen"
5,11.5,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
9.4,13,7.5,"Cool, Neutral Stream with High Oxygen"
9.9,11,7,"Cool, Neutral Stream with High Oxygen"
9.2,13,7.4,"Cool, Neutral Stream with High Oxygen"
5.6,30,7.3,"Tropical, Neutral Lake with Moderate Oxygen"
6.6,22,7.3,"Tropical, Neutral Lake with Moderate Oxygen"
9.3,15,7.2,"Cool, Neutral Stream with High Oxygen"
8,24,7.1,"Hot, Neutral Pond with High Oxygen"
9.5,15,7.2,"Cool, Neutral Stream with High Oxygen"
5,25,7.5,"Warm, Slightly Alkaline Lake with Low Oxygen"
6.2,24,7.5,"Tropical, Neutral Lake with Moderate Oxygen"
6.6,25,7.4,"Tropical, Neutral Lake with Moderate Oxygen"
8.6,20,7.2,"Hot, Neutral Pond with High Oxygen"
5.9,27,7.5,"Tropical, Neutral Lake with Moderate Oxygen"
10,14.4,6.9,"Cool, Neutral Stream with High Oxygen"
8,20,6.9,"Hot, Neutral Pond with High Oxygen"
10,25,7.2,"Hot, Neutral Pond with High Oxygen"
9.2,12.7,7,"Cool, Neutral Stream with High Oxygen"
8.2,10,7.2,"Cool, Neutral Stream with High Oxygen"
5,26,7.5,"Warm, Slightly Alkaline Lake with Low Oxygen"
9.5,29.2,7,"Hot, Neutral Pond with High Oxygen"
8,29,7,"Hot, Neutral Pond with High Oxygen"
8,27,7,"Hot, Neutral Pond with High Oxygen"
8,29,7,"Hot, Neutral Pond with High Oxygen"
6,30,6,"Warm, Slightly Acidic Pond with Low to Moderate Oxygen"
8,29,7,"Hot, Neutral Pond with High Oxygen"
10.1,10,6,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
1.1,25,7.5,"Warm, Slightly Alkaline Lake with Low Oxygen"
7,6,7,"Cold, Neutral River with Moderate Oxygen"
9.6,14,7,"Cool, Neutral Stream with High Oxygen"
5,8,7,"Cold, Neutral River with Moderate Oxygen"
8,30,7,"Hot, Neutral Pond with High Oxygen"
5,19,7.8,"Temperate, Slightly Alkaline Lake with Low Oxygen"
5,9,6,"Cool, Acidic River with Moderate Oxygen"
11.2,12,7,"Cool, Neutral Stream with High Oxygen"
9,14,7,"Cool, Neutral Stream with High Oxygen"
11,15.5,6,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
6,5.3,6.5,"Cold, Neutral River with Moderate Oxygen"
3,12,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
4.1,12.1,7.2,"Temperate, Slightly Alkaline Lake with Low Oxygen"
6.5,26,7.1,"Tropical, Neutral Lake with Moderate Oxygen"
3.1,28.3,7.6,"Warm, Slightly Alkaline Lake with Low Oxygen"
6.7,27,7.1,"Tropical, Neutral Lake with Moderate Oxygen"
5.5,27,7.1,"Tropical, Neutral Lake with Moderate Oxygen"
6.3,27,7.1,"Tropical, Neutral Lake with Moderate Oxygen"
6.5,27,7.1,"Tropical, Neutral Lake with Moderate Oxygen"
6.5,27,7.1,"Tropical, Neutral Lake with Moderate Oxygen"
5.8,27,7.1,"Tropical, Neutral Lake with Moderate Oxygen"
6.4,27,7.2,"Tropical, Neutral Lake with Moderate Oxygen"
6.5,28,7.1,"Tropical, Neutral Lake with Moderate Oxygen"
5.4,26,7.1,"Tropical, Neutral Lake with Moderate Oxygen"
4,29,7.8,"Warm, Slightly Alkaline Lake with Low Oxygen"
6.5,26,7.1,"Tropical, Neutral Lake with Moderate Oxygen"
5.3,27,7.2,"Tropical, Neutral Lake with Moderate Oxygen"
6.5,26,7.1,"Tropical, Neutral Lake with Moderate Oxygen"
6.5,27,7.1,"Tropical, Neutral Lake with Moderate Oxygen"
7,14,5.5,"Cool, Acidic River with Moderate Oxygen"
3.5,27,6.5,"Warm, Slightly Acidic Pond with Low to Moderate Oxygen"
4,26.5,7,"Tropical, Neutral Lake with Moderate Oxygen"
6,27,7,"Tropical, Neutral Lake with Moderate Oxygen"
1.8,26.5,7.8,"Warm, Slightly Alkaline Lake with Low Oxygen"
3.2,29,7.8,"Warm, Slightly Alkaline Lake with Low Oxygen"
2.1,27.5,7.6,"Warm, Slightly Alkaline Lake with Low Oxygen"
3.7,27.7,7.8,"Warm, Slightly Alkaline Lake with Low Oxygen"
2.7,29.5,7.7,"Warm, Slightly Alkaline Lake with Low Oxygen"
2.7,30,7.9,"Warm, Slightly Alkaline Lake with Low Oxygen"
2.2,28.5,7.5,"Warm, Slightly Alkaline Lake with Low Oxygen"
2.7,27.5,7.5,"Warm, Slightly Alkaline Lake with Low Oxygen"
4.9,30,7,"Tropical, Neutral Lake with Moderate Oxygen"
1.8,28,7.9,"Warm, Slightly Alkaline Lake with Low Oxygen"
4.6,29.7,7.7,"Warm, Slightly Alkaline Lake with Low Oxygen"
3.1,28.7,7.5,"Warm, Slightly Alkaline Lake with Low Oxygen"
2.9,27.5,7.5,"Warm, Slightly Alkaline Lake with Low Oxygen"
6.9,25,7,"Tropical, Neutral Lake with Moderate Oxygen"
6.4,6.8,7.1,"Cold, Neutral River with Moderate Oxygen"
6,20,6,"Warm, Slightly Acidic Pond with Low to Moderate Oxygen"
8.5,11.3,7,"Cool, Neutral Stream with High Oxygen"
3.8,16,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
4.8,17.7,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
2,17.3,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
4.7,20,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
8.2,13,7,"Cool, Neutral Stream with High Oxygen"
2,15.3,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
4.2,12,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
5.1,15,5.5,"Cool, Acidic River with Moderate Oxygen"
2.8,17,7.2,"Temperate, Slightly Alkaline Lake with Low Oxygen"
9.6,15,7.5,"Cool, Neutral Stream with High Oxygen"
8.3,23,7,"Hot, Neutral Pond with High Oxygen"
8.6,21,7,"Hot, Neutral Pond with High Oxygen"
8.1,24,7,"Hot, Neutral Pond with High Oxygen"
8.4,22,7,"Hot, Neutral Pond with High Oxygen"
8.4,22,7,"Hot, Neutral Pond with High Oxygen"
10.3,12,7,"Cool, Neutral Stream with High Oxygen"
10.2,12,6.5,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
10.7,10,6.5,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
10.7,10,7,"Cool, Neutral Stream with High Oxygen"
10.7,10,7.5,"Cool, Neutral Stream with High Oxygen"
8.2,23,7,"Hot, Neutral Pond with High Oxygen"
8,21,7,"Hot, Neutral Pond with High Oxygen"
8,25,7,"Hot, Neutral Pond with High Oxygen"
8.6,21,7,"Hot, Neutral Pond with High Oxygen"
10.2,12,7,"Cool, Neutral Stream with High Oxygen"
8.4,21,7,"Hot, Neutral Pond with High Oxygen"
8.4,22,7,"Hot, Neutral Pond with High Oxygen"
9.8,14,7,"Cool, Neutral Stream with High Oxygen"
8.7,20,7,"Hot, Neutral Pond with High Oxygen"
10.2,12,6.5,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
8.1,24,7,"Hot, Neutral Pond with High Oxygen"
8.4,22,7,"Hot, Neutral Pond with High Oxygen"
8,20,6.8,"Hot, Neutral Pond with High Oxygen"
3.7,26,7.6,"Warm, Slightly Alkaline Lake with Low Oxygen"
3.8,26,7.7,"Warm, Slightly Alkaline Lake with Low Oxygen"
8,14,7,"Cool, Neutral Stream with High Oxygen"
4.5,17.5,7.5,"Temperate, Slightly Alkaline Lake with Low Oxygen"
3.2,20,7.1,"Temperate, Slightly Alkaline Lake with Low Oxygen"
4,16,7.6,"Temperate, Slightly Alkaline Lake with Low Oxygen"
3.5,15,7.5,"Temperate, Slightly Alkaline Lake with Low Oxygen"
4.2,18.5,7.4,"Temperate, Slightly Alkaline Lake with Low Oxygen"
3.2,14.5,7.5,"Temperate, Slightly Alkaline Lake with Low Oxygen"
4.8,18,7.7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
5,17,7.8,"Temperate, Slightly Alkaline Lake with Low Oxygen"
3.6,16.5,7.5,"Temperate, Slightly Alkaline Lake with Low Oxygen"
3,17,7.6,"Temperate, Slightly Alkaline Lake with Low Oxygen"
10.8,12,6.2,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
2.3,11,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
9,12.2,7.5,"Cool, Neutral Stream with High Oxygen"
8,10.4,7,"Cool, Neutral Stream with High Oxygen"
10,10.1,7,"Cool, Neutral Stream with High Oxygen"
8,10.7,7.5,"Cool, Neutral Stream with High Oxygen"
10,10.3,7,"Cool, Neutral Stream with High Oxygen"
8,21.2,7,"Hot, Neutral Pond with High Oxygen"
8,10,6.8,"Cool, Neutral Stream with High Oxygen"
8,12.7,7.1,"Cool, Neutral Stream with High Oxygen"
8,22,7,"Hot, Neutral Pond with High Oxygen"
8,21,7,"Hot, Neutral Pond with High Oxygen"
10,12,7,"Cool, Neutral Stream with High Oxygen"
10,14.8,7,"Cool, Neutral Stream with High Oxygen"
10,10,6.8,"Cool, Neutral Stream with High Oxygen"
7,24,7.2,"Tropical, Neutral Lake with Moderate Oxygen"
10,22,7,"Hot, Neutral Pond with High Oxygen"
8,12.2,7.2,"Cool, Neutral Stream with High Oxygen"
11.8,11,7,"Cool, Neutral Stream with High Oxygen"
6,22,7,"Tropical, Neutral Lake with Moderate Oxygen"
8,23.5,7,"Hot, Neutral Pond with High Oxygen"
10,12,7.3,"Cool, Neutral Stream with High Oxygen"
8.2,12,7,"Cool, Neutral Stream with High Oxygen"
14,14.8,6,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
10,12,7.5,"Cool, Neutral Stream with High Oxygen"
8,11,7.5,"Cool, Neutral Stream with High Oxygen"
9,13,7.5,"Cool, Neutral Stream with High Oxygen"
10,13,7.5,"Cool, Neutral Stream with High Oxygen"
9,14,7.5,"Cool, Neutral Stream with High Oxygen"
8,11,7,"Cool, Neutral Stream with High Oxygen"
10,11,7,"Cool, Neutral Stream with High Oxygen"
10,13,7.5,"Cool, Neutral Stream with High Oxygen"
10,13,7.5,"Cool, Neutral Stream with High Oxygen"
10,15,7.5,"Cool, Neutral Stream with High Oxygen"
10.2,13,6.8,"Cool, Neutral Stream with High Oxygen"
10.9,10,7,"Cool, Neutral Stream with High Oxygen"
9.8,15,7.2,"Cool, Neutral Stream with High Oxygen"
8.8,20.3,7,"Hot, Neutral Pond with High Oxygen"
10.9,10,7.2,"Cool, Neutral Stream with High Oxygen"
10.2,12.9,7,"Cool, Neutral Stream with High Oxygen"
10.8,10.3,7.5,"Cool, Neutral Stream with High Oxygen"
8.5,22,7,"Hot, Neutral Pond with High Oxygen"
10,14,7,"Cool, Neutral Stream with High Oxygen"
10,14,7.5,"Cool, Neutral Stream with High Oxygen"
10.4,12.2,7,"Cool, Neutral Stream with High Oxygen"
10.4,12.4,7,"Cool, Neutral Stream with High Oxygen"
10.1,13.7,7,"Cool, Neutral Stream with High Oxygen"
6,6.4,6.9,"Cold, Neutral River with Moderate Oxygen"
8,12.2,6.9,"Cool, Neutral Stream with High Oxygen"
8,14.4,7,"Cool, Neutral Stream with High Oxygen"
6,5.8,6.7,"Cold, Neutral River with Moderate Oxygen"
8,14.2,7,"Cool, Neutral Stream with High Oxygen"
8,10.9,7,"Cool, Neutral Stream with High Oxygen"
8,10.2,7.4,"Cool, Neutral Stream with High Oxygen"
8.3,11,7.4,"Cool, Neutral Stream with High Oxygen"
10.7,13,7.2,"Cool, Neutral Stream with High Oxygen"
4,15,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
13,17,6.2,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
10.7,13,6,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
10.5,12.8,6.3,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
6,12,6,"Cool, Acidic River with Moderate Oxygen"
6,9,6,"Cool, Acidic River with Moderate Oxygen"
10,15,7,"Cool, Neutral Stream with High Oxygen"
6,12,6,"Cool, Acidic River with Moderate Oxygen"
6,8,6,"Cool, Acidic River with Moderate Oxygen"
5,15,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
8,15,7,"Cool, Neutral Stream with High Oxygen"
5,15,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
6,12,6,"Cool, Acidic River with Moderate Oxygen"
6,8,6,"Cool, Acidic River with Moderate Oxygen"
6,15,6,"Cool, Acidic River with Moderate Oxygen"
4,14,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
6,8,6,"Cool, Acidic River with Moderate Oxygen"
8,13,7,"Cool, Neutral Stream with High Oxygen"
6,13,6,"Cool, Acidic River with Moderate Oxygen"
6,15,6,"Cool, Acidic River with Moderate Oxygen"
5,26,7.8,"Warm, Slightly Alkaline Lake with Low Oxygen"
4.2,27,7.8,"Warm, Slightly Alkaline Lake with Low Oxygen"
3.6,27,7.8,"Warm, Slightly Alkaline Lake with Low Oxygen"
3.6,28,7.6,"Warm, Slightly Alkaline Lake with Low Oxygen"
3.2,28.5,7.7,"Warm, Slightly Alkaline Lake with Low Oxygen"
3.8,27,7.6,"Warm, Slightly Alkaline Lake with Low Oxygen"
2.6,25,7.6,"Warm, Slightly Alkaline Lake with Low Oxygen"
4.2,26,7.5,"Warm, Slightly Alkaline Lake with Low Oxygen"
7,25,7.4,"Tropical, Neutral Lake with Moderate Oxygen"
6,27,7.5,"Tropical, Neutral Lake with Moderate Oxygen"
8.3,21.9,7.2,"Hot, Neutral Pond with High Oxygen"
6.9,9.8,6.9,"Cold, Neutral River with Moderate Oxygen"
6.6,8.6,7,"Cold, Neutral River with Moderate Oxygen"
6.5,10,7.1,"Cold, Neutral River with Moderate Oxygen"
11.8,11.9,6.5,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
6.9,7.5,7.1,"Cold, Neutral River with Moderate Oxygen"
8.3,10.1,7.3,"Cool, Neutral Stream with High Oxygen"
9,11.5,7,"Cool, Neutral Stream with High Oxygen"
8,10.7,6.9,"Cool, Neutral Stream with High Oxygen"
9.5,15,7.1,"Cool, Neutral Stream with High Oxygen"
10.8,12.4,7,"Cool, Neutral Stream with High Oxygen"
8.1,10.2,6.8,"Cool, Neutral Stream with High Oxygen"
3,11.7,7.8,"Temperate, Slightly Alkaline Lake with Low Oxygen"
6.6,7,6.6,"Cold, Neutral River with Moderate Oxygen"
3,15.7,7.8,"Temperate, Slightly Alkaline Lake with Low Oxygen"
10,14.5,7,"Cool, Neutral Stream with High Oxygen"
8.4,12.4,6.8,"Cool, Neutral Stream with High Oxygen"
9,23.9,7.1,"Hot, Neutral Pond with High Oxygen"
9.1,21.5,7.2,"Hot, Neutral Pond with High Oxygen"
9.1,20.5,7.2,"Hot, Neutral Pond with High Oxygen"
9.2,22,7.2,"Hot, Neutral Pond with High Oxygen"
8,11.4,7.2,"Cool, Neutral Stream with High Oxygen"
11,14.3,7.5,"Cool, Neutral Stream with High Oxygen"
12,10.7,7.4,"Cool, Neutral Stream with High Oxygen"
10,12.7,7.2,"Cool, Neutral Stream with High Oxygen"
10,10,7.3,"Cool, Neutral Stream with High Oxygen"
10,14,7.5,"Cool, Neutral Stream with High Oxygen"
12,10.3,7.2,"Cool, Neutral Stream with High Oxygen"
8,24,7,"Hot, Neutral Pond with High Oxygen"
12,16,6.5,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
4.6,13,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
10,10.2,7.3,"Cool, Neutral Stream with High Oxygen"
9.5,20,7,"Hot, Neutral Pond with High Oxygen"
7,8.5,6.5,"Cold, Neutral River with Moderate Oxygen"
6,25.7,7.5,"Tropical, Neutral Lake with Moderate Oxygen"
5.8,24.3,7.5,"Tropical, Neutral Lake with Moderate Oxygen"
5.9,24.3,7.4,"Tropical, Neutral Lake with Moderate Oxygen"
5,28,7.6,"Warm, Slightly Alkaline Lake with Low Oxygen"
7,29.5,7.5,"Tropical, Neutral Lake with Moderate Oxygen"
6.7,29,6.6,"Tropical, Neutral Lake with Moderate Oxygen"
8.3,25,7.1,"Hot, Neutral Pond with High Oxygen"
7,24.5,7.5,"Tropical, Neutral Lake with Moderate Oxygen"
7,24,7,"Tropical, Neutral Lake with Moderate Oxygen"
7,24,7.5,"Tropical, Neutral Lake with Moderate Oxygen"
6,24,7.5,"Tropical, Neutral Lake with Moderate Oxygen"
7,22,7.5,"Tropical, Neutral Lake with Moderate Oxygen"
6,25,7.5,"Tropical, Neutral Lake with Moderate Oxygen"
8,25,6.8,"Hot, Neutral Pond with High Oxygen"
5,25.5,7.5,"Warm, Slightly Alkaline Lake with Low Oxygen"
4,22.5,7.5,"Tropical, Neutral Lake with Moderate Oxygen"
5,11.8,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
5,29.5,7.5,"Warm, Slightly Alkaline Lake with Low Oxygen"
5,26,7.5,"Warm, Slightly Alkaline Lake with Low Oxygen"
5,26,7.5,"Warm, Slightly Alkaline Lake with Low Oxygen"
6,30,6,"Warm, Slightly Acidic Pond with Low to Moderate Oxygen"
4.6,25.3,7.7,"Warm, Slightly Alkaline Lake with Low Oxygen"
3,20,7.2,"Temperate, Slightly Alkaline Lake with Low Oxygen"
2.3,11,7.7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
6.5,8,6.7,"Cold, Neutral River with Moderate Oxygen"
5.5,8,6.9,"Cold, Neutral River with Moderate Oxygen"
2,10,7.1,"Temperate, Slightly Alkaline Lake with Low Oxygen"
4.7,11,7.6,"Temperate, Slightly Alkaline Lake with Low Oxygen"
8.2,15,7.5,"Cool, Neutral Stream with High Oxygen"
2.9,16,7.3,"Temperate, Slightly Alkaline Lake with Low Oxygen"
4.5,14,7.5,"Temperate, Slightly Alkaline Lake with Low Oxygen"
6.2,28,7.1,"Tropical, Neutral Lake with Moderate Oxygen"
5,27,7.8,"Warm, Slightly Alkaline Lake with Low Oxygen"
6.6,26,7.4,"Tropical, Neutral Lake with Moderate Oxygen"
7,29,7.5,"Tropical, Neutral Lake with Moderate Oxygen"
4.8,25,7.1,"Tropical, Neutral Lake with Moderate Oxygen"
4.5,30,7,"Tropical, Neutral Lake with Moderate Oxygen"
3,30,7.5,"Warm, Slightly Alkaline Lake with Low Oxygen"
2.5,30,7.5,"Warm, Slightly Alkaline Lake with Low Oxygen"
4.3,26.3,6.7,"Tropical, Neutral Lake with Moderate Oxygen"
5,26.7,7.9,"Warm, Slightly Alkaline Lake with Low Oxygen"
4.2,26,7.5,"Warm, Slightly Alkaline Lake with Low Oxygen"
10,11.6,7.4,"Cool, Neutral Stream with High Oxygen"
4.6,25.3,7.7,"Warm, Slightly Alkaline Lake with Low Oxygen"
5,22.6,7.5,"Tropical, Neutral Lake with Moderate Oxygen"
5,15.8,7.5,"Temperate, Slightly Alkaline Lake with Low Oxygen"
5,13.5,7.5,"Temperate, Slightly Alkaline Lake with Low Oxygen"
11,12,7.5,"Cool, Neutral Stream with High Oxygen"
5,7.2,7,"Cold, Neutral River with Moderate Oxygen"
5,18.6,7.7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
4,25.5,7.3,"Tropical, Neutral Lake with Moderate Oxygen"
12,12,7.5,"Cool, Neutral Stream with High Oxygen"
4,19.5,7.5,"Temperate, Slightly Alkaline Lake with Low Oxygen"
5,5,7,"Cold, Neutral River with Moderate Oxygen"
8.3,14.5,7.1,"Cool, Neutral Stream with High Oxygen"
9.7,10.4,7.2,"Cool, Neutral Stream with High Oxygen"
8.3,14.5,7.1,"Cool, Neutral Stream with High Oxygen"
6.7,14,6,"Cool, Acidic River with Moderate Oxygen"
10.1,10.8,6.4,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
3.7,18,7.1,"Temperate, Slightly Alkaline Lake with Low Oxygen"
2.2,19,7.8,"Temperate, Slightly Alkaline Lake with Low Oxygen"
4.6,21,6.5,"Warm, Slightly Acidic Pond with Low to Moderate Oxygen"
8.2,15,7.5,"Cool, Neutral Stream with High Oxygen"
4.2,27,8,"Warm, Slightly Alkaline Lake with Low Oxygen"
12,12,7.5,"Cool, Neutral Stream with High Oxygen"
10,10.5,7.5,"Cool, Neutral Stream with High Oxygen"
7,8,7,"Cold, Neutral River with Moderate Oxygen"
4,11,7.5,"Temperate, Slightly Alkaline Lake with Low Oxygen"
6,7,6.8,"Cold, Neutral River with Moderate Oxygen"
10,13,7.5,"Cool, Neutral Stream with High Oxygen"
4,22,7,"Tropical, Neutral Lake with Moderate Oxygen"
4.3,16,7.2,"Temperate, Slightly Alkaline Lake with Low Oxygen"
8.7,10.4,7.5,"Cool, Neutral Stream with High Oxygen"
10.6,13.7,7.5,"Cool, Neutral Stream with High Oxygen"
8.3,12,7,"Cool, Neutral Stream with High Oxygen"
9,13,7.5,"Cool, Neutral Stream with High Oxygen"
2.4,11,7.7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
1,10,8.4,"Cold, Alkaline Stream with Very Low Oxygen"
2.4,12,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
6,6.5,7,"Cold, Neutral River with Moderate Oxygen"
7.6,21,6.9,"Hot, Neutral Pond with High Oxygen"
5.6,23,6.7,"Tropical, Neutral Lake with Moderate Oxygen"
5.3,13,5.5,"Cool, Acidic River with Moderate Oxygen"
10.4,11.5,6,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
14,15,6,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
7,14.8,6,"Cool, Acidic River with Moderate Oxygen"
6.8,13.5,5.5,"Cool, Acidic River with Moderate Oxygen"
4.6,25,6.8,"Tropical, Neutral Lake with Moderate Oxygen"
8.6,12.2,7.5,"Cool, Neutral Stream with High Oxygen"
8.9,11.2,7.4,"Cool, Neutral Stream with High Oxygen"
9.6,11,7.5,"Cool, Neutral Stream with High Oxygen"
8.2,13.6,7.5,"Cool, Neutral Stream with High Oxygen"
5.2,24.3,7.4,"Tropical, Neutral Lake with Moderate Oxygen"
8.4,10,7.5,"Cool, Neutral Stream with High Oxygen"
9,20,7,"Hot, Neutral Pond with High Oxygen"
6,22,7.5,"Tropical, Neutral Lake with Moderate Oxygen"
7,22.5,7.5,"Tropical, Neutral Lake with Moderate Oxygen"
8,10,7,"Cool, Neutral Stream with High Oxygen"
8,12,7,"Cool, Neutral Stream with High Oxygen"
7,9,7,"Cold, Neutral River with Moderate Oxygen"
10,14,7.5,"Cool, Neutral Stream with High Oxygen"
